DATE,DJCA
2013-12-06,5489.44
2013-12-09,5492.15
2013-12-10,5461.33
2013-12-11,5403.85
2013-12-12,5385.03
2013-12-13,5392.69
2013-12-16,5437.34
2013-12-17,5428.88
2013-12-18,5513.74
2013-12-19,5510.54
2013-12-20,5543.18
2013-12-23,5561.79
2013-12-24,5583.18
2013-12-25,.
2013-12-26,5609.07
2013-12-27,5607.52
2013-12-30,5614.47
2013-12-31,5641.55
2014-01-01,.
2014-01-02,5577.70
2014-01-03,5589.68
2014-01-06,5561.51
2014-01-07,5600.50
2014-01-08,5588.92
2014-01-09,5606.38
2014-01-10,5634.96
2014-01-13,5570.28
2014-01-14,5614.16
2014-01-15,5644.74
2014-01-16,5627.07
2014-01-17,5628.47
2014-01-20,.
2014-01-21,5638.54
2014-01-22,5647.64
2014-01-23,5617.39
2014-01-24,5478.29
2014-01-27,5458.51
2014-01-28,5497.69
2014-01-29,5440.47
2014-01-30,5499.24
2014-01-31,5473.96
2014-02-03,5351.00
2014-02-04,5378.80
2014-02-05,5360.49
2014-02-06,5426.68
2014-02-07,5477.71
2014-02-10,5467.86
2014-02-11,5531.52
2014-02-12,5526.14
2014-02-13,5551.57
2014-02-14,5586.74
2014-02-17,.
2014-02-18,5566.36
2014-02-19,5525.02
2014-02-20,5576.24
2014-02-21,5583.84
2014-02-24,5608.60
2014-02-25,5590.26
2014-02-26,5584.66
2014-02-27,5605.74
2014-02-28,5626.95
2014-03-03,5579.82
2014-03-04,5667.36
2014-03-05,5659.90
2014-03-06,5683.70
2014-03-07,5699.58
2014-03-10,5687.58
2014-03-11,5666.36
2014-03-12,5678.73
2014-03-13,5616.63
2014-03-14,5612.39
2014-03-17,5667.85
2014-03-18,5691.91
2014-03-19,5650.79
2014-03-20,5670.08
2014-03-21,5665.64
2014-03-24,5661.40
2014-03-25,5690.40
2014-03-26,5640.42
2014-03-27,5641.75
2014-03-28,5663.74
2014-03-31,5725.85
2014-04-01,5750.74
2014-04-02,5768.03
2014-04-03,5768.29
2014-04-04,5715.44
2014-04-07,5657.13
2014-04-08,5673.48
2014-04-09,5733.98
2014-04-10,5642.76
2014-04-11,5599.00
2014-04-14,5641.76
2014-04-15,5684.52
2014-04-16,5750.39
2014-04-17,5747.56
2014-04-18,.
2014-04-21,5766.66
2014-04-22,5790.17
2014-04-23,5789.94
2014-04-24,5787.34
2014-04-25,5741.78
2014-04-28,5762.85
2014-04-29,5784.48
2014-04-30,5806.31
2014-05-01,5815.86
2014-05-02,5783.37
2014-05-05,5788.28
2014-05-06,5754.14
2014-05-07,5800.84
2014-05-08,5797.68
2014-05-09,5794.52
2014-05-12,5841.15
2014-05-13,5855.31
2014-05-14,5823.80
2014-05-15,5777.04
2014-05-16,5802.54
2014-05-19,5807.02
2014-05-20,5765.72
2014-05-21,5807.69
2014-05-22,5825.74
2014-05-23,5850.15
2014-05-26,.
2014-05-27,5876.63
2014-05-28,5885.86
2014-05-29,5906.86
2014-05-30,5915.81
2014-06-02,5931.54
2014-06-03,5914.97
2014-06-04,5917.97
2014-06-05,5957.42
2014-06-06,5987.46
2014-06-09,5985.00
2014-06-10,5980.73
2014-06-11,5936.22
2014-06-12,5883.84
2014-06-13,5909.89
2014-06-16,5923.24
2014-06-17,5937.47
2014-06-18,6001.19
2014-06-19,6015.23
2014-06-20,6018.25
2014-06-23,6005.45
2014-06-24,5967.98
2014-06-25,5998.48
2014-06-26,5992.55
2014-06-27,6002.03
2014-06-30,6009.94
2014-07-01,6039.47
2014-07-02,6019.42
