DATE,DJTA
2013-12-06,7200.41
2013-12-09,7225.27
2013-12-10,7172.59
2013-12-11,7057.47
2013-12-12,7059.49
2013-12-13,7086.43
2013-12-16,7151.16
2013-12-17,7119.53
2013-12-18,7207.17
2013-12-19,7206.46
2013-12-20,7282.26
2013-12-23,7312.04
2013-12-24,7339.37
2013-12-25,.
2013-12-26,7363.64
2013-12-27,7352.08
2013-12-30,7351.20
2013-12-31,7400.57
2014-01-01,.
2014-01-02,7287.87
2014-01-03,7327.37
2014-01-06,7234.03
2014-01-07,7287.76
2014-01-08,7310.13
2014-01-09,7379.62
2014-01-10,7466.03
2014-01-13,7361.84
2014-01-14,7456.26
2014-01-15,7503.83
2014-01-16,7456.54
2014-01-17,7427.46
2014-01-20,.
2014-01-21,7469.74
2014-01-22,7548.56
2014-01-23,7569.89
2014-01-24,7258.72
2014-01-27,7199.18
2014-01-28,7277.62
2014-01-29,7190.61
2014-01-30,7302.00
2014-01-31,7289.18
2014-02-03,7053.75
2014-02-04,7135.03
2014-02-05,7075.79
2014-02-06,7181.91
2014-02-07,7242.33
2014-02-10,7171.47
2014-02-11,7254.16
2014-02-12,7263.93
2014-02-13,7281.98
2014-02-14,7306.69
2014-02-17,.
2014-02-18,7231.74
2014-02-19,7140.81
2014-02-20,7252.04
2014-02-21,7308.60
2014-02-24,7340.57
2014-02-25,7291.66
2014-02-26,7273.20
2014-02-27,7316.29
2014-02-28,7348.37
2014-03-03,7302.93
2014-03-04,7466.08
2014-03-05,7489.65
2014-03-06,7559.96
2014-03-07,7592.36
2014-03-10,7580.25
2014-03-11,7560.07
2014-03-12,7585.98
2014-03-13,7480.76
2014-03-14,7475.79
2014-03-17,7542.40
2014-03-18,7582.43
2014-03-19,7549.71
2014-03-20,7542.29
2014-03-21,7515.18
2014-03-24,7510.38
2014-03-25,7549.00
2014-03-26,7429.54
2014-03-27,7411.43
2014-03-28,7451.36
2014-03-31,7574.96
2014-04-01,7645.11
2014-04-02,7695.51
2014-04-03,7683.19
2014-04-04,7570.76
2014-04-07,7467.99
2014-04-08,7468.43
2014-04-09,7590.78
2014-04-10,7431.23
2014-04-11,7362.39
2014-04-14,7403.24
2014-04-15,7466.79
2014-04-16,7591.54
2014-04-17,7634.42
2014-04-18,.
2014-04-21,7686.19
2014-04-22,7734.90
2014-04-23,7742.26
2014-04-24,7710.02
2014-04-25,7586.14
2014-04-28,7584.34
2014-04-29,7617.29
2014-04-30,7672.19
2014-05-01,7719.02
2014-05-02,7698.84
2014-05-05,7675.88
2014-05-06,7656.51
2014-05-07,7700.26
2014-05-08,7703.70
2014-05-09,7719.30
2014-05-12,7867.45
2014-05-13,7903.51
2014-05-14,7834.39
2014-05-15,7781.32
2014-05-16,7845.85
2014-05-19,7906.40
2014-05-20,7834.12
2014-05-21,7881.52
2014-05-22,7923.42
2014-05-23,7986.58
2014-05-26,.
2014-05-27,8017.84
2014-05-28,8075.88
2014-05-29,8110.35
2014-05-30,8104.57
2014-06-02,8148.37
2014-06-03,8080.30
2014-06-04,8078.82
2014-06-05,8140.08
2014-06-06,8209.96
2014-06-09,8214.99
2014-06-10,8204.29
2014-06-11,8141.55
2014-06-12,7983.04
2014-06-13,8042.85
2014-06-16,8023.09
2014-06-17,8056.30
2014-06-18,8178.03
2014-06-19,8188.09
2014-06-20,8205.11
2014-06-23,8162.31
2014-06-24,8093.08
2014-06-25,8164.47
2014-06-26,8149.97
2014-06-27,8175.52
2014-06-30,8202.30
2014-07-01,8261.70
2014-07-02,8232.59
2014-07-03,8294.74
2014-07-04,.
2014-07-07,8209.32
2014-07-08,8200.84
2014-07-09,8244.75
2014-07-10,8225.80
2014-07-11,8254.31
2014-07-14,8313.11
2014-07-15,8345.08
2014-07-16,8397.21
2014-07-17,8279.14
2014-07-18,8385.4
2014-07-21,8360.70
2014-07-22,8455.34
2014-07-23,8468.54
2014-07-24,8466.60
2014-07-25,8428.15
2014-07-28,8332.97
2014-07-29,8217.62
2014-07-30,8276.54
2014-07-31,8141.75
2014-08-01,8120.86
2014-08-04,8149.08
2014-08-05,8059.53
2014-08-06,8009.82
2014-08-07,7992.08
2014-08-08,8092.47
2014-08-11,8156.65
2014-08-12,8153.80
2014-08-13,8209.57
2014-08-14,8264.15
2014-08-15,8264.12
2014-08-18,8405.63
2014-08-19,8414.89
2014-08-20,8460.97
2014-08-21,8428.57
2014-08-22,8429.91
2014-08-25,8454.25
2014-08-26,8421.31
2014-08-27,8428.06
2014-08-28,8405.38
2014-08-29,8408.02
2014-09-01,.
2014-09-02,8516.25
2014-09-03,8496.93
2014-09-04,8549.79
2014-09-05,8601.80
2014-09-08,8574.19
2014-09-09,8514.67
2014-09-10,8521.21
2014-09-11,8555.61
2014-09-12,8552.28
2014-09-15,8521.15
2014-09-16,8570.11
2014-09-17,8652.00
2014-09-18,8676.19
2014-09-19,8633.83
2014-09-22,8514.43
2014-09-23,8445.07
2014-09-24,8503.20
2014-09-25,8384.74
2014-09-26,8484.91
2014-09-29,8498.08
2014-09-30,8451.10
2014-10-01,8239.28
2014-10-02,8305.81
2014-10-03,8481.99
2014-10-06,8384.63
2014-10-07,8175.31
2014-10-08,8253.34
2014-10-09,8054.06
2014-10-10,7893.26
2014-10-13,7717.69
2014-10-14,7919.00
2014-10-15,7937.48
2014-10-16,8026.20
2014-10-17,8147.84
2014-10-20,8227.84
2014-10-21,8486.36
2014-10-22,8312.16
2014-10-23,8486.36
2014-10-24,8568.98
2014-10-27,8626.70
2014-10-28,8759.30
2014-10-29,8714.96
2014-10-30,8631.13
2014-10-31,8755.51
2014-11-03,8767.83
2014-11-04,8798.91
2014-11-05,8839.91
2014-11-06,8952.91
2014-11-07,8949.11
2014-11-10,9068.48
2014-11-11,9060.89
2014-11-12,9091.55
2014-11-13,9073.24
2014-11-14,9061.53
2014-11-17,9012.63
2014-11-18,9041.77
2014-11-19,9012.67
2014-11-20,9053.67
2014-11-21,9094.16
2014-11-24,9166.57
2014-11-25,9202.84
2014-11-26,9195.71
2014-11-27,.
2014-11-28,9198.20
2014-12-01,8948.96
2014-12-02,9059.13
2014-12-03,9130.76
2014-12-04,9119.22
2014-12-05,9152.00
2014-12-08,9032.85
2014-12-09,8979.95
2014-12-10,8858.34
2014-12-11,8927.05
2014-12-12,8836.88
2014-12-15,8857.12
2014-12-16,8740.52
2014-12-17,8813.99
2014-12-18,8953.33
2014-12-19,8989.45
2014-12-22,9081.53
2014-12-23,9150.06
2014-12-24,9178.89
2014-12-25,.
2014-12-26,9199.65
2014-12-29,9217.44
2014-12-30,9198.20
2014-12-31,9139.92
2015-01-01,.
2015-01-02,9098.98
2015-01-05,8856.76
2015-01-06,8710.96
2015-01-07,8772.38
2015-01-08,8961.60
2015-01-09,8858.15
2015-01-12,8806.70
2015-01-13,8765.34
2015-01-14,8689.87
2015-01-15,8655.94
2015-01-16,8764.12
2015-01-19,.
2015-01-20,8848.55
2015-01-21,8888.64
2015-01-22,9143.52
2015-01-23,8981.94
2015-01-26,9040.14
2015-01-27,8928.83
2015-01-28,8798.84
2015-01-29,8851.29
2015-01-30,8649.32
2015-02-02,8774.11
2015-02-03,8902.16
2015-02-04,8884.94
2015-02-05,8966.58
2015-02-06,8932.47
2015-02-09,8840.63
2015-02-10,8916.62
2015-02-11,8941.40
2015-02-12,9011.53
2015-02-13,9034.06
2015-02-16,.
2015-02-17,9045.06
2015-02-18,9081.11
2015-02-19,9076.73
2015-02-20,9131.16
2015-02-23,9143.52
2015-02-24,9178.48
2015-02-25,9131.80
2015-02-26,9082.17
2015-02-27,9024.52
2015-03-02,9102.82
2015-03-03,9058.36
2015-03-04,9017.11
2015-03-05,9003.57
2015-03-06,8907.41
2015-03-09,8928.13
2015-03-10,8798.35
2015-03-11,8897.27
2015-03-12,9005.69
2015-03-13,8945.13
2015-03-16,9096.60
2015-03-17,9086.36
2015-03-18,9118.95
2015-03-19,9118.86
2015-03-20,9148.13
2015-03-23,8968.40
2015-03-24,8908.39
2015-03-25,8727.40
2015-03-26,8677.84
2015-03-27,8700.34
2015-03-30,8788.06
2015-03-31,8741.41
2015-04-01,8672.13
2015-04-02,8605.31
2015-04-03,.
2015-04-06,8566.47
2015-04-07,8607.68
2015-04-08,8668.58
2015-04-09,8708.51
2015-04-10,8767.83
2015-04-13,8706.63
2015-04-14,8697.79
2015-04-15,8704.81
2015-04-16,8708.36
2015-04-17,8647.50
2015-04-20,8793.70
2015-04-21,8815.75
2015-04-22,8863.07
2015-04-23,8904.68
2015-04-24,8880.17
2015-04-27,8803.85
2015-04-28,8810.35
2015-04-29,8701.47
2015-04-30,8592.89
2015-05-01,8737.00
2015-05-04,8750.64
2015-05-05,8606.47
2015-05-06,8619.37
2015-05-07,8717.05
2015-05-08,8766.89
2015-05-11,8754.59
2015-05-12,8649.87
2015-05-13,8559.51
2015-05-14,8598.51
2015-05-15,8680.78
2015-05-18,8740.68
2015-05-19,8674.10
2015-05-20,8503.96
2015-05-21,8551.28
2015-05-22,8482.31
2015-05-25,.
2015-05-26,8350.50
2015-05-27,8444.32
2015-05-28,8367.42
2015-05-29,8299.75
2015-06-01,8394.23
2015-06-02,8407.44
2015-06-03,8510.04
2015-06-04,8436.90
2015-06-05,8509.64
2015-06-08,8334.68
2015-06-09,8307.34
2015-06-10,8363.47
2015-06-11,8451.67
2015-06-12,8416.80
2015-06-15,8375.86
2015-06-16,8348.22
2015-06-17,8315.94
2015-06-18,8444.38
2015-06-19,8411.88
2015-06-22,8480.43
2015-06-23,8467.88
2015-06-24,8310.01
2015-06-25,8239.58
2015-06-26,8242.47
2015-06-29,8080.83
2015-06-30,8092.28
2015-07-01,8103.86
2015-07-02,8122.50
2015-07-03,.
2015-07-06,8078.53
2015-07-07,8179.02
2015-07-08,8002.54
2015-07-09,8052.83
2015-07-10,8201.65
2015-07-13,8289.91
2015-07-14,8284.20
2015-07-15,8224.31
2015-07-16,8238.52
2015-07-17,8293.61
2015-07-20,8262.27
2015-07-21,8323.01
2015-07-22,8297.68
2015-07-23,8127.00
2015-07-24,8072.57
2015-07-27,8059.64
2015-07-28,8278.61
2015-07-29,8420.87
2015-07-30,8419.78
2015-07-31,8391.96
2015-08-03,8416.86
2015-08-04,8427.25
2015-08-05,8437.15
2015-08-06,8366.99
2015-08-07,8250.85
2015-08-10,8372.03
2015-08-11,8316.70
2015-08-12,8276.18
2015-08-13,8265.43
2015-08-14,8318.70
2015-08-17,8379.02
2015-08-18,8361.04
2015-08-19,8299.99
2015-08-20,8092.68
2015-08-21,7872.06
2015-08-24,7595.08
2015-08-25,7466.97
2015-08-26,7682.12
2015-08-27,7866.72
2015-08-28,7908.66
2015-08-31,7845.15
2015-09-01,7677.32
2015-09-02,7865.32
2015-09-03,7871.21
2015-09-04,7793.83
2015-09-07,.
2015-09-08,8012.86
2015-09-09,7956.22
2015-09-10,8030.48
2015-09-11,8051.62
2015-09-14,8015.66
2015-09-15,8163.93
2015-09-16,8183.37
2015-09-17,8215.44
2015-09-18,8036.37
2015-09-21,8099.91
2015-09-22,7896.36
2015-09-23,7861.28
2015-09-24,7781.38
2015-09-25,7850.62
2015-09-28,7675.87
2015-09-29,7700.71
2015-09-30,7785.63
2015-10-01,7832.70
2015-10-02,7873.64
2015-10-05,8055.20
2015-10-06,7971.86
2015-10-07,8080.35
2015-10-08,8191.63
2015-10-09,8253.16
2015-10-12,8260.93
2015-10-13,8077.74
2015-10-14,8091.95
2015-10-15,8208.57
2015-10-16,8078.61
2015-10-19,8107.00
2015-10-20,8158.53
2015-10-21,8118.93
2015-10-22,8238.93
2015-10-23,8295.58
2015-10-26,8282.30
2015-10-27,8063.56
2015-10-28,8070.08
2015-10-29,8138.00
2015-10-30,8128.07
2015-11-02,8242.95
2015-11-03,8206.71
2015-11-04,8153.29
2015-11-05,8180.15
2015-11-06,8241.43
2015-11-09,8215.18
2015-11-10,8217.49
2015-11-11,8187.10
2015-11-12,8059.54
2015-11-13,8010.27
2015-11-16,8052.05
2015-11-17,8058.30
2015-11-18,8191.33
2015-11-19,8272.56
2015-11-20,8301.80
2015-11-23,8226.87
2015-11-24,8174.91
2015-11-25,8172.05
2015-11-26,.
2015-11-27,8215.42
2015-11-30,8101.45
2015-12-01,8204.27
2015-12-02,8030.43
2015-12-03,7885.82
2015-12-04,7954.83
2015-12-07,7884.78
2015-12-08,7663.24
2015-12-09,7627.91
2015-12-10,7671.47
2015-12-11,7524.64
2015-12-14,7489.64
2015-12-15,7551.25
2015-12-16,7687.00
2015-12-17,7533.38
2015-12-18,7364.04
2015-12-21,7415.39
2015-12-22,7526.77
2015-12-23,7610.49
2015-12-24,7622.61
2015-12-25,.
2015-12-28,7566.70
2015-12-29,7619.78
2015-12-30,7537.40
2015-12-31,7508.71
2016-01-01,.
2016-01-04,7352.59
2016-01-05,7363.95
2016-01-06,7217.05
2016-01-07,6995.39
2016-01-08,6946.36
2016-01-11,6914.56
2016-01-12,6978.21
2016-01-13,6721.37
2016-01-14,6799.92
2016-01-15,6689.06
2016-01-18,.
2016-01-19,6657.20
2016-01-20,6625.53
2016-01-21,6689.97
2016-01-22,6778.54
2016-01-25,6651.78
2016-01-26,6815.76
2016-01-27,6756.12
2016-01-28,6701.97
2016-01-29,6906.76
2016-02-01,6968.83
2016-02-02,6764.16
2016-02-03,6834.76
2016-02-04,7051.25
2016-02-05,6942.82
2016-02-08,6924.31
2016-02-09,6996.30
2016-02-10,6983.94
2016-02-11,6883.49
2016-02-12,7048.69
2016-02-15,.
2016-02-16,7209.56
2016-02-17,7326.45
2016-02-18,7284.73
2016-02-19,7285.95
2016-02-22,7421.11
2016-02-23,7325.17
2016-02-24,7290.88
2016-02-25,7369.58
2016-02-26,7405.03
2016-02-29,7345.03
2016-03-01,7500.30
2016-03-02,7517.17
2016-03-03,7602.03
2016-03-04,7651.85
2016-03-07,7686.02
2016-03-08,7478.37
2016-03-09,7528.44
2016-03-10,7518.09
2016-03-11,7693.09
2016-03-14,7690.41
2016-03-15,7646.98
2016-03-16,7729.33
2016-03-17,7959.95
2016-03-18,8075.69
2016-03-21,8075.38
2016-03-22,8011.67
2016-03-23,7956.78
2016-03-24,7926.02
2016-03-25,.
2016-03-28,7858.71
2016-03-29,7951.61
2016-03-30,7965.19
2016-03-31,7944.11
2016-04-01,7887.77
2016-04-04,7816.99
2016-04-05,7772.46
2016-04-06,7753.88
2016-04-07,7652.83
2016-04-08,7736.28
2016-04-11,7699.49
2016-04-12,7758.69
2016-04-13,7960.74
2016-04-14,7980.78
2016-04-15,7978.23
2016-04-18,8002.65
2016-04-19,8106.14
2016-04-20,8109.19
2016-04-21,8010.94
2016-04-22,8085.98
2016-04-25,7990.35
2016-04-26,8081.47
2016-04-27,8091.34
2016-04-28,7966.04
2016-04-29,7871.63
2016-05-02,7923.95
2016-05-03,7828.32
2016-05-04,7756.14
2016-05-05,7667.48
2016-05-06,7738.96
2016-05-09,7738.53
2016-05-10,7831.97
2016-05-11,7710.45
2016-05-12,7600.20
2016-05-13,7507.31
2016-05-16,7562.61
2016-05-17,7607.63
2016-05-18,7630.35
2016-05-19,7585.88
2016-05-20,7671.89
2016-05-23,7638.09
2016-05-24,7681.15
2016-05-25,7743.71
2016-05-26,7722.69
2016-05-27,7772.28
2016-05-30,.
2016-05-31,7798.35
2016-06-01,7773.25
2016-06-02,7763.08
2016-06-03,7730.13
2016-06-06,7772.40
2016-06-07,7855.12
2016-06-08,7900.68
2016-06-09,7882.23
2016-06-10,7764.85
2016-06-13,7676.10
2016-06-14,7564.81
2016-06-15,7569.07
2016-06-16,7546.11
2016-06-17,7589.84
2016-06-20,7672.62
2016-06-21,7649.29
2016-06-22,7600.20
2016-06-23,7671.53
2016-06-24,7320.55
2016-06-27,7093.40
2016-06-28,7252.63
2016-06-29,7412.95
2016-06-30,7485.13
2016-07-01,7557.62
2016-07-04,.
2016-07-05,7462.05
2016-07-06,7458.03
2016-07-07,7492.56
2016-07-08,7683.28
2016-07-11,7711.91
2016-07-12,7879.06
2016-07-13,7930.71
2016-07-14,8015.93
2016-07-15,7985.17
2016-07-18,7972.86
2016-07-19,7961.47
2016-07-20,7962.33
2016-07-21,7858.59
2016-07-22,7965.98
2016-07-25,7892.95
2016-07-26,7980.30
2016-07-27,7861.45
2016-07-28,7864.13
2016-07-29,7846.41
2016-08-01,7815.65
2016-08-02,7648.44
2016-08-03,7711.36
2016-08-04,7720.01
2016-08-05,7866.57
2016-08-08,7869.31
2016-08-09,7836.78
2016-08-10,7802.92
2016-08-11,7846.65
2016-08-12,7807.18
2016-08-15,7852.56
2016-08-16,7850.79
2016-08-17,7882.47
2016-08-18,7922.06
2016-08-19,7930.35
2016-08-22,7894.77
2016-08-23,7923.40
2016-08-24,7918.65
2016-08-25,7868.03
2016-08-26,7824.54
2016-08-29,7860.30
2016-08-30,7910.12
2016-08-31,7878.69
2016-09-01,7917.56
2016-09-02,7946.79
2016-09-05,.
2016-09-06,7952.40
