DATE,DJUA
2013-12-09,487.89
2013-12-10,482.42
2013-12-11,478.30
2013-12-12,478.70
2013-12-13,477.81
2013-12-16,481.07
2013-12-17,481.35
2013-12-18,486.91
2013-12-19,483.74
2013-12-20,488.34
2013-12-23,487.01
2013-12-24,488.96
2013-12-25,.
2013-12-26,487.12
2013-12-27,487.94
2013-12-30,489.28
2013-12-31,490.57
2014-01-01,.
2014-01-02,482.88
2014-01-03,481.40
2014-01-06,482.30
2014-01-07,486.36
2014-01-08,484.17
2014-01-09,487.38
2014-01-10,493.87
2014-01-13,489.64
2014-01-14,489.89
2014-01-15,489.37
2014-01-16,492.70
2014-01-17,492.70
2014-01-20,.
2014-01-21,498.21
2014-01-22,497.72
2014-01-23,496.88
2014-01-24,491.96
2014-01-27,492.89
2014-01-28,495.43
2014-01-29,494.65
2014-01-30,502.40
2014-01-31,506.26
2014-02-03,501.67
2014-02-04,498.98
2014-02-05,496.53
2014-02-06,500.34
2014-02-07,503.85
2014-02-10,506.70
2014-02-11,511.65
2014-02-12,510.62
2014-02-13,516.25
2014-02-14,519.51
2014-02-17,.
2014-02-18,520.19
2014-02-19,517.96
2014-02-20,523.12
2014-02-21,523.47
2014-02-24,522.05
2014-02-25,520.79
2014-02-26,517.70
2014-02-27,515.95
2014-02-28,518.77
2014-03-03,514.19
2014-03-04,518.57
2014-03-05,514.93
2014-03-06,512.56
2014-03-07,514.20
2014-03-10,512.51
2014-03-11,510.21
2014-03-12,515.52
2014-03-13,519.13
2014-03-14,522.29
2014-03-17,525.78
2014-03-18,524.55
2014-03-19,517.24
2014-03-20,517.32
2014-03-21,521.66
2014-03-24,522.78
2014-03-25,524.53
2014-03-26,522.00
2014-03-27,525.88
2014-03-28,526.94
2014-03-31,532.13
2014-04-01,528.91
2014-04-02,527.80
2014-04-03,529.71
2014-04-04,531.61
2014-04-07,529.65
2014-04-08,538.41
2014-04-09,537.35
2014-04-10,534.80
2014-04-11,534.32
2014-04-14,537.70
2014-04-15,544.65
2014-04-16,548.75
2014-04-17,543.00
2014-04-18,.
2014-04-21,542.78
2014-04-22,542.82
2014-04-23,543.15
2014-04-24,546.02
2014-04-25,551.66
2014-04-28,554.58
2014-04-29,553.12
2014-04-30,553.58
2014-05-01,555.54
2014-05-02,543.81
2014-05-05,547.92
2014-05-06,544.86
2014-05-07,553.66
2014-05-08,547.44
2014-05-09,539.55
2014-05-12,534.49
2014-05-13,535.85
2014-05-14,537.99
2014-05-15,536.28
2014-05-16,537.78
2014-05-19,529.74
2014-05-20,530.55
2014-05-21,531.10
2014-05-22,535.20
2014-05-23,534.02
2014-05-26,.
2014-05-27,537.81
2014-05-28,540.42
2014-05-29,540.84
2014-05-30,544.96
2014-06-02,545.44
2014-06-03,547.19
2014-06-04,547.45
2014-06-05,551.60
2014-06-06,550.01
2014-06-09,545.68
2014-06-10,544.16
2014-06-11,537.50
2014-06-12,539.37
2014-06-13,542.42
2014-06-16,552.37
2014-06-17,553.41
2014-06-18,564.45
2014-06-19,569.84
2014-06-20,566.46
2014-06-23,565.44
2014-06-24,565.86
2014-06-25,569.17
2014-06-26,569.99
2014-06-27,571.71
2014-06-30,575.98
2014-07-01,570.85
2014-07-02,560.19
2014-07-03,554.27
2014-07-04,.
2014-07-07,556.08
2014-07-08,559.46
2014-07-09,559.28
2014-07-10,562.42
2014-07-11,559.43
2014-07-14,553.25
2014-07-15,555.95
2014-07-16,558.72
2014-07-17,553.08
2014-07-18,559.13
2014-07-21,558.87
2014-07-22,558.65
2014-07-23,558.71
2014-07-24,560.57
2014-07-25,556.51
2014-07-28,563.48
2014-07-29,558.23
2014-07-30,548.58
2014-07-31,539.30
2014-08-01,540.69
2014-08-04,538.66
2014-08-05,532.01
2014-08-06,526.03
2014-08-07,530.78
2014-08-08,542.69
2014-08-11,540.63
2014-08-12,540.55
2014-08-13,541.42
2014-08-14,545.91
2014-08-15,548.81
2014-08-18,548.20
2014-08-19,554.68
2014-08-20,555.96
2014-08-21,556.65
2014-08-22,555.25
2014-08-25,558.28
2014-08-26,552.68
2014-08-27,557.13
